complaint_id,product,issue,consumer_complaint_narrative,date_received
COMP-00001,Money transfer,Account access issues,I have been trying to resolve this account access issues for 56 days. The money transfer department keeps transferring me without helping.,2022-10-28
COMP-00002,Student loan,Account access issues,I have been trying to resolve this account access issues for 56 days. The student loan department keeps transferring me without helping.,2021-06-07
COMP-00003,Student loan,Unauthorized transactions,My student loan application was denied without explanation. The unauthorized transactions has been ongoing for 26 days and I have received no response.,2021-03-24
COMP-00004,Money transfer,Problem with payment,I have been trying to resolve this problem with payment for 6 days. The money transfer department keeps transferring me without helping.,2024-09-05
COMP-00005,Credit card,Problem with payment,My credit card application was denied without explanation. The problem with payment has been ongoing for 40 days and I have received no response.,2023-07-06
COMP-00006,Student loan,Account access issues,The interest rate on my student loan was changed without notice. This account access issues is causing significant financial hardship.,2022-12-04
COMP-00007,Money transfer,Incorrect information on report,I was charged an unexpected fee of $133 on my money transfer account. I called customer service and waited 24 minutes but got no resolution.,2020-05-05
COMP-00008,Student loan,Problem with payment,Unauthorized charges appeared on my student loan. I reported the problem with payment but the company refused to investigate properly.,2022-12-17
COMP-00009,Debt collection,Problem with payment,The interest rate on my debt collection was changed without notice. This problem with payment is causing significant financial hardship.,2021-03-07
COMP-00010,Student loan,Account access issues,Unauthorized charges appeared on my student loan. I reported the account access issues but the company refused to investigate properly.,2021-05-25
COMP-00011,Debt collection,Closing account,Unauthorized charges appeared on my debt collection. I reported the closing account but the company refused to investigate properly.,2023-11-06
COMP-00012,Personal loan,Fraud or scam,Unauthorized charges appeared on my personal loan. I reported the fraud or scam but the company refused to investigate properly.,2024-06-22
COMP-00013,Credit card,Closing account,The interest rate on my credit card was changed without notice. This closing account is causing significant financial hardship.,2021-02-02
COMP-00014,Debt collection,Fraud or scam,My debt collection application was denied without explanation. The fraud or scam has been ongoing for 25 days and I have received no response.,2021-04-10
COMP-00015,Credit card,Account access issues,I was charged an unexpected fee of $496 on my credit card account. I called customer service and waited 104 minutes but got no resolution.,2022-01-12
COMP-00016,Checking account,Account access issues,I was charged an unexpected fee of $342 on my checking account account. I called customer service and waited 103 minutes but got no resolution.,2021-12-28
COMP-00017,Debt collection,Billing disputes,Unauthorized charges appeared on my debt collection. I reported the billing disputes but the company refused to investigate properly.,2022-04-19
COMP-00018,Student loan,Unauthorized transactions,The interest rate on my student loan was changed without notice. This unauthorized transactions is causing significant financial hardship.,2022-07-03
COMP-00019,Credit card,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 35 days. The credit card department keeps transferring me without helping.,2020-10-30
COMP-00020,Mortgage,Managing account,I was charged an unexpected fee of $290 on my mortgage account. I called customer service and waited 28 minutes but got no resolution.,2024-08-13
COMP-00021,Auto loan,Problem with payment,I have been trying to resolve this problem with payment for 47 days. The auto loan department keeps transferring me without helping.,2023-03-23
COMP-00022,Student loan,Problem with payment,The interest rate on my student loan was changed without notice. This problem with payment is causing significant financial hardship.,2022-06-27
COMP-00023,Credit card,Closing account,Unauthorized charges appeared on my credit card. I reported the closing account but the company refused to investigate properly.,2020-07-28
COMP-00024,Debt collection,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 61 days. The debt collection department keeps transferring me without helping.,2023-02-09
COMP-00025,Personal loan,Fraud or scam,Unauthorized charges appeared on my personal loan. I reported the fraud or scam but the company refused to investigate properly.,2022-12-19
COMP-00026,Auto loan,Problem with payment,I have been trying to resolve this problem with payment for 11 days. The auto loan department keeps transferring me without helping.,2021-08-04
COMP-00027,Credit card,Billing disputes,My credit card application was denied without explanation. The billing disputes has been ongoing for 52 days and I have received no response.,2022-04-01
COMP-00028,Checking account,Managing account,I was charged an unexpected fee of $15 on my checking account account. I called customer service and waited 107 minutes but got no resolution.,2024-02-01
COMP-00029,Checking account,Incorrect information on report,My checking account application was denied without explanation. The incorrect information on report has been ongoing for 80 days and I have received no response.,2024-05-03
COMP-00030,Mortgage,Unauthorized transactions,I was charged an unexpected fee of $128 on my mortgage account. I called customer service and waited 20 minutes but got no resolution.,2021-04-11
COMP-00031,Debt collection,Problem with payment,I was charged an unexpected fee of $403 on my debt collection account. I called customer service and waited 41 minutes but got no resolution.,2023-05-08
COMP-00032,Mortgage,Account access issues,Unauthorized charges appeared on my mortgage. I reported the account access issues but the company refused to investigate properly.,2024-06-14
COMP-00033,Debt collection,Managing account,I was charged an unexpected fee of $10 on my debt collection account. I called customer service and waited 91 minutes but got no resolution.,2021-11-20
COMP-00034,Mortgage,Unauthorized transactions,Unauthorized charges appeared on my mortgage. I reported the unauthorized transactions but the company refused to investigate properly.,2022-10-30
COMP-00035,Personal loan,Fraud or scam,The interest rate on my personal loan was changed without notice. This fraud or scam is causing significant financial hardship.,2023-07-02
COMP-00036,Checking account,Managing account,I have been trying to resolve this managing account for 33 days. The checking account department keeps transferring me without helping.,2022-04-15
COMP-00037,Credit card,Problem with payment,The interest rate on my credit card was changed without notice. This problem with payment is causing significant financial hardship.,2023-12-15
COMP-00038,Money transfer,Billing disputes,Unauthorized charges appeared on my money transfer. I reported the billing disputes but the company refused to investigate properly.,2024-03-10
COMP-00039,Auto loan,Problem with payment,I was charged an unexpected fee of $379 on my auto loan account. I called customer service and waited 103 minutes but got no resolution.,2023-07-25
COMP-00040,Mortgage,Closing account,The interest rate on my mortgage was changed without notice. This closing account is causing significant financial hardship.,2021-09-15
COMP-00041,Debt collection,Fraud or scam,My debt collection application was denied without explanation. The fraud or scam has been ongoing for 73 days and I have received no response.,2022-07-03
COMP-00042,Auto loan,Problem with payment,I have been trying to resolve this problem with payment for 66 days. The auto loan department keeps transferring me without helping.,2024-03-29
COMP-00043,Debt collection,Account access issues,Unauthorized charges appeared on my debt collection. I reported the account access issues but the company refused to investigate properly.,2021-04-18
COMP-00044,Money transfer,Managing account,My money transfer application was denied without explanation. The managing account has been ongoing for 34 days and I have received no response.,2022-01-18
COMP-00045,Credit card,Account access issues,My credit card application was denied without explanation. The account access issues has been ongoing for 27 days and I have received no response.,2021-07-22
COMP-00046,Money transfer,Account access issues,I was charged an unexpected fee of $483 on my money transfer account. I called customer service and waited 77 minutes but got no resolution.,2023-04-02
COMP-00047,Mortgage,Incorrect information on report,My mortgage application was denied without explanation. The incorrect information on report has been ongoing for 35 days and I have received no response.,2020-06-02
COMP-00048,Credit card,Managing account,I was charged an unexpected fee of $300 on my credit card account. I called customer service and waited 117 minutes but got no resolution.,2020-02-25
COMP-00049,Debt collection,Account access issues,The interest rate on my debt collection was changed without notice. This account access issues is causing significant financial hardship.,2023-02-09
COMP-00050,Debt collection,Fraud or scam,I was charged an unexpected fee of $399 on my debt collection account. I called customer service and waited 111 minutes but got no resolution.,2020-08-19
COMP-00051,Debt collection,Incorrect information on report,Unauthorized charges appeared on my debt collection. I reported the incorrect information on report but the company refused to investigate properly.,2024-12-20
COMP-00052,Auto loan,Closing account,I have been trying to resolve this closing account for 65 days. The auto loan department keeps transferring me without helping.,2021-04-11
COMP-00053,Auto loan,Fraud or scam,My auto loan application was denied without explanation. The fraud or scam has been ongoing for 32 days and I have received no response.,2021-07-05
COMP-00054,Money transfer,Incorrect information on report,I was charged an unexpected fee of $65 on my money transfer account. I called customer service and waited 76 minutes but got no resolution.,2023-05-19
COMP-00055,Debt collection,Unauthorized transactions,I was charged an unexpected fee of $171 on my debt collection account. I called customer service and waited 64 minutes but got no resolution.,2024-02-10
COMP-00056,Personal loan,Managing account,My personal loan application was denied without explanation. The managing account has been ongoing for 89 days and I have received no response.,2020-06-15
COMP-00057,Student loan,Managing account,My student loan application was denied without explanation. The managing account has been ongoing for 83 days and I have received no response.,2024-09-05
COMP-00058,Personal loan,Billing disputes,The interest rate on my personal loan was changed without notice. This billing disputes is causing significant financial hardship.,2023-05-23
COMP-00059,Auto loan,Closing account,I have been trying to resolve this closing account for 87 days. The auto loan department keeps transferring me without helping.,2023-04-05
COMP-00060,Auto loan,Closing account,I have been trying to resolve this closing account for 62 days. The auto loan department keeps transferring me without helping.,2024-04-15
COMP-00061,Mortgage,Incorrect information on report,I was charged an unexpected fee of $312 on my mortgage account. I called customer service and waited 109 minutes but got no resolution.,2023-10-04
COMP-00062,Debt collection,Problem with payment,I was charged an unexpected fee of $24 on my debt collection account. I called customer service and waited 70 minutes but got no resolution.,2021-03-30
COMP-00063,Mortgage,Fraud or scam,Unauthorized charges appeared on my mortgage. I reported the fraud or scam but the company refused to investigate properly.,2021-09-14
COMP-00064,Checking account,Closing account,The interest rate on my checking account was changed without notice. This closing account is causing significant financial hardship.,2022-03-13
COMP-00065,Auto loan,Managing account,I was charged an unexpected fee of $56 on my auto loan account. I called customer service and waited 19 minutes but got no resolution.,2020-07-19
COMP-00066,Credit card,Problem with payment,My credit card application was denied without explanation. The problem with payment has been ongoing for 21 days and I have received no response.,2020-05-20
COMP-00067,Money transfer,Unauthorized transactions,The interest rate on my money transfer was changed without notice. This unauthorized transactions is causing significant financial hardship.,2021-02-27
COMP-00068,Auto loan,Fraud or scam,Unauthorized charges appeared on my auto loan. I reported the fraud or scam but the company refused to investigate properly.,2020-12-14
COMP-00069,Checking account,Unauthorized transactions,The interest rate on my checking account was changed without notice. This unauthorized transactions is causing significant financial hardship.,2024-10-12
COMP-00070,Debt collection,Account access issues,The interest rate on my debt collection was changed without notice. This account access issues is causing significant financial hardship.,2021-08-28
COMP-00071,Debt collection,Account access issues,The interest rate on my debt collection was changed without notice. This account access issues is causing significant financial hardship.,2021-07-31
COMP-00072,Personal loan,Incorrect information on report,The interest rate on my personal loan was changed without notice. This incorrect information on report is causing significant financial hardship.,2021-03-05
COMP-00073,Auto loan,Fraud or scam,Unauthorized charges appeared on my auto loan. I reported the fraud or scam but the company refused to investigate properly.,2024-11-19
COMP-00074,Credit card,Closing account,I was charged an unexpected fee of $381 on my credit card account. I called customer service and waited 85 minutes but got no resolution.,2021-04-30
COMP-00075,Student loan,Unauthorized transactions,My student loan application was denied without explanation. The unauthorized transactions has been ongoing for 65 days and I have received no response.,2022-02-19
COMP-00076,Mortgage,Fraud or scam,Unauthorized charges appeared on my mortgage. I reported the fraud or scam but the company refused to investigate properly.,2022-09-18
COMP-00077,Checking account,Unauthorized transactions,The interest rate on my checking account was changed without notice. This unauthorized transactions is causing significant financial hardship.,2021-08-02
COMP-00078,Checking account,Fraud or scam,Unauthorized charges appeared on my checking account. I reported the fraud or scam but the company refused to investigate properly.,2022-05-21
COMP-00079,Debt collection,Incorrect information on report,I was charged an unexpected fee of $16 on my debt collection account. I called customer service and waited 34 minutes but got no resolution.,2024-05-10
COMP-00080,Personal loan,Unauthorized transactions,I was charged an unexpected fee of $115 on my personal loan account. I called customer service and waited 89 minutes but got no resolution.,2021-09-02
COMP-00081,Personal loan,Billing disputes,Unauthorized charges appeared on my personal loan. I reported the billing disputes but the company refused to investigate properly.,2022-09-20
COMP-00082,Debt collection,Problem with payment,I have been trying to resolve this problem with payment for 4 days. The debt collection department keeps transferring me without helping.,2024-05-08
COMP-00083,Mortgage,Unauthorized transactions,The interest rate on my mortgage was changed without notice. This unauthorized transactions is causing significant financial hardship.,2022-08-25
COMP-00084,Student loan,Managing account,My student loan application was denied without explanation. The managing account has been ongoing for 33 days and I have received no response.,2021-11-25
COMP-00085,Personal loan,Problem with payment,The interest rate on my personal loan was changed without notice. This problem with payment is causing significant financial hardship.,2023-09-02
COMP-00086,Debt collection,Incorrect information on report,Unauthorized charges appeared on my debt collection. I reported the incorrect information on report but the company refused to investigate properly.,2021-01-27
COMP-00087,Student loan,Problem with payment,My student loan application was denied without explanation. The problem with payment has been ongoing for 59 days and I have received no response.,2023-04-24
COMP-00088,Mortgage,Managing account,Unauthorized charges appeared on my mortgage. I reported the managing account but the company refused to investigate properly.,2021-08-11
COMP-00089,Credit card,Closing account,My credit card application was denied without explanation. The closing account has been ongoing for 39 days and I have received no response.,2022-04-23
COMP-00090,Mortgage,Closing account,The interest rate on my mortgage was changed without notice. This closing account is causing significant financial hardship.,2021-08-23
COMP-00091,Personal loan,Managing account,My personal loan application was denied without explanation. The managing account has been ongoing for 3 days and I have received no response.,2021-02-14
COMP-00092,Credit card,Problem with payment,The interest rate on my credit card was changed without notice. This problem with payment is causing significant financial hardship.,2021-05-04
COMP-00093,Money transfer,Billing disputes,I have been trying to resolve this billing disputes for 18 days. The money transfer department keeps transferring me without helping.,2020-01-03
COMP-00094,Personal loan,Unauthorized transactions,My personal loan application was denied without explanation. The unauthorized transactions has been ongoing for 19 days and I have received no response.,2024-07-15
COMP-00095,Student loan,Closing account,I have been trying to resolve this closing account for 5 days. The student loan department keeps transferring me without helping.,2024-12-20
COMP-00096,Personal loan,Closing account,I have been trying to resolve this closing account for 14 days. The personal loan department keeps transferring me without helping.,2021-09-28
COMP-00097,Student loan,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 52 days. The student loan department keeps transferring me without helping.,2024-06-17
COMP-00098,Mortgage,Account access issues,Unauthorized charges appeared on my mortgage. I reported the account access issues but the company refused to investigate properly.,2020-11-07
COMP-00099,Credit card,Billing disputes,Unauthorized charges appeared on my credit card. I reported the billing disputes but the company refused to investigate properly.,2023-09-19
COMP-00100,Personal loan,Incorrect information on report,Unauthorized charges appeared on my personal loan. I reported the incorrect information on report but the company refused to investigate properly.,2022-05-10
COMP-00101,Auto loan,Account access issues,I was charged an unexpected fee of $143 on my auto loan account. I called customer service and waited 24 minutes but got no resolution.,2021-06-11
COMP-00102,Auto loan,Managing account,Unauthorized charges appeared on my auto loan. I reported the managing account but the company refused to investigate properly.,2022-12-02
COMP-00103,Debt collection,Account access issues,I have been trying to resolve this account access issues for 32 days. The debt collection department keeps transferring me without helping.,2023-01-11
COMP-00104,Auto loan,Billing disputes,I have been trying to resolve this billing disputes for 41 days. The auto loan department keeps transferring me without helping.,2020-12-16
COMP-00105,Money transfer,Incorrect information on report,I have been trying to resolve this incorrect information on report for 33 days. The money transfer department keeps transferring me without helping.,2023-07-31
COMP-00106,Mortgage,Closing account,Unauthorized charges appeared on my mortgage. I reported the closing account but the company refused to investigate properly.,2021-01-18
COMP-00107,Mortgage,Incorrect information on report,I have been trying to resolve this incorrect information on report for 49 days. The mortgage department keeps transferring me without helping.,2020-12-27
COMP-00108,Debt collection,Managing account,My debt collection application was denied without explanation. The managing account has been ongoing for 71 days and I have received no response.,2023-10-26
COMP-00109,Checking account,Managing account,Unauthorized charges appeared on my checking account. I reported the managing account but the company refused to investigate properly.,2022-10-16
COMP-00110,Money transfer,Managing account,Unauthorized charges appeared on my money transfer. I reported the managing account but the company refused to investigate properly.,2021-05-20
COMP-00111,Money transfer,Incorrect information on report,Unauthorized charges appeared on my money transfer. I reported the incorrect information on report but the company refused to investigate properly.,2024-04-20
COMP-00112,Auto loan,Incorrect information on report,I was charged an unexpected fee of $169 on my auto loan account. I called customer service and waited 104 minutes but got no resolution.,2021-01-25
COMP-00113,Student loan,Managing account,Unauthorized charges appeared on my student loan. I reported the managing account but the company refused to investigate properly.,2022-01-22
COMP-00114,Checking account,Incorrect information on report,I have been trying to resolve this incorrect information on report for 11 days. The checking account department keeps transferring me without helping.,2024-09-06
COMP-00115,Student loan,Managing account,I was charged an unexpected fee of $305 on my student loan account. I called customer service and waited 73 minutes but got no resolution.,2021-02-07
COMP-00116,Personal loan,Unauthorized transactions,I was charged an unexpected fee of $295 on my personal loan account. I called customer service and waited 87 minutes but got no resolution.,2024-11-14
COMP-00117,Money transfer,Closing account,Unauthorized charges appeared on my money transfer. I reported the closing account but the company refused to investigate properly.,2024-06-09
COMP-00118,Debt collection,Unauthorized transactions,Unauthorized charges appeared on my debt collection. I reported the unauthorized transactions but the company refused to investigate properly.,2024-04-03
COMP-00119,Mortgage,Closing account,I was charged an unexpected fee of $422 on my mortgage account. I called customer service and waited 53 minutes but got no resolution.,2022-09-07
COMP-00120,Checking account,Fraud or scam,I have been trying to resolve this fraud or scam for 68 days. The checking account department keeps transferring me without helping.,2021-10-14
COMP-00121,Mortgage,Account access issues,My mortgage application was denied without explanation. The account access issues has been ongoing for 86 days and I have received no response.,2023-02-24
COMP-00122,Money transfer,Managing account,I have been trying to resolve this managing account for 55 days. The money transfer department keeps transferring me without helping.,2024-06-20
COMP-00123,Student loan,Managing account,My student loan application was denied without explanation. The managing account has been ongoing for 86 days and I have received no response.,2024-11-30
COMP-00124,Auto loan,Problem with payment,The interest rate on my auto loan was changed without notice. This problem with payment is causing significant financial hardship.,2023-01-29
COMP-00125,Mortgage,Fraud or scam,Unauthorized charges appeared on my mortgage. I reported the fraud or scam but the company refused to investigate properly.,2022-03-30
COMP-00126,Checking account,Unauthorized transactions,My checking account application was denied without explanation. The unauthorized transactions has been ongoing for 56 days and I have received no response.,2024-09-29
COMP-00127,Checking account,Closing account,My checking account application was denied without explanation. The closing account has been ongoing for 22 days and I have received no response.,2021-10-12
COMP-00128,Money transfer,Fraud or scam,The interest rate on my money transfer was changed without notice. This fraud or scam is causing significant financial hardship.,2021-01-07
COMP-00129,Student loan,Fraud or scam,I was charged an unexpected fee of $284 on my student loan account. I called customer service and waited 97 minutes but got no resolution.,2022-01-27
COMP-00130,Debt collection,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 54 days. The debt collection department keeps transferring me without helping.,2021-07-25
COMP-00131,Checking account,Problem with payment,I have been trying to resolve this problem with payment for 40 days. The checking account department keeps transferring me without helping.,2024-12-29
COMP-00132,Money transfer,Closing account,Unauthorized charges appeared on my money transfer. I reported the closing account but the company refused to investigate properly.,2024-05-19
COMP-00133,Mortgage,Unauthorized transactions,Unauthorized charges appeared on my mortgage. I reported the unauthorized transactions but the company refused to investigate properly.,2023-04-20
COMP-00134,Mortgage,Fraud or scam,My mortgage application was denied without explanation. The fraud or scam has been ongoing for 58 days and I have received no response.,2024-02-08
COMP-00135,Personal loan,Closing account,Unauthorized charges appeared on my personal loan. I reported the closing account but the company refused to investigate properly.,2023-11-27
COMP-00136,Personal loan,Unauthorized transactions,The interest rate on my personal loan was changed without notice. This unauthorized transactions is causing significant financial hardship.,2023-04-16
COMP-00137,Money transfer,Problem with payment,Unauthorized charges appeared on my money transfer. I reported the problem with payment but the company refused to investigate properly.,2023-08-04
COMP-00138,Credit card,Account access issues,I was charged an unexpected fee of $232 on my credit card account. I called customer service and waited 30 minutes but got no resolution.,2023-11-06
COMP-00139,Personal loan,Managing account,The interest rate on my personal loan was changed without notice. This managing account is causing significant financial hardship.,2024-08-03
COMP-00140,Checking account,Unauthorized transactions,Unauthorized charges appeared on my checking account. I reported the unauthorized transactions but the company refused to investigate properly.,2021-07-10
COMP-00141,Debt collection,Incorrect information on report,I was charged an unexpected fee of $99 on my debt collection account. I called customer service and waited 74 minutes but got no resolution.,2021-05-24
COMP-00142,Money transfer,Unauthorized transactions,The interest rate on my money transfer was changed without notice. This unauthorized transactions is causing significant financial hardship.,2021-01-09
COMP-00143,Student loan,Billing disputes,My student loan application was denied without explanation. The billing disputes has been ongoing for 36 days and I have received no response.,2020-12-24
COMP-00144,Money transfer,Unauthorized transactions,I was charged an unexpected fee of $142 on my money transfer account. I called customer service and waited 118 minutes but got no resolution.,2023-05-29
COMP-00145,Personal loan,Managing account,The interest rate on my personal loan was changed without notice. This managing account is causing significant financial hardship.,2021-10-15
COMP-00146,Student loan,Managing account,I was charged an unexpected fee of $364 on my student loan account. I called customer service and waited 70 minutes but got no resolution.,2024-10-24
COMP-00147,Debt collection,Fraud or scam,I was charged an unexpected fee of $478 on my debt collection account. I called customer service and waited 47 minutes but got no resolution.,2023-06-04
COMP-00148,Credit card,Problem with payment,I was charged an unexpected fee of $383 on my credit card account. I called customer service and waited 79 minutes but got no resolution.,2023-03-18
COMP-00149,Personal loan,Fraud or scam,Unauthorized charges appeared on my personal loan. I reported the fraud or scam but the company refused to investigate properly.,2022-06-22
COMP-00150,Mortgage,Account access issues,My mortgage application was denied without explanation. The account access issues has been ongoing for 6 days and I have received no response.,2021-05-24
COMP-00151,Auto loan,Incorrect information on report,My auto loan application was denied without explanation. The incorrect information on report has been ongoing for 5 days and I have received no response.,2024-05-18
COMP-00152,Personal loan,Closing account,The interest rate on my personal loan was changed without notice. This closing account is causing significant financial hardship.,2022-03-13
COMP-00153,Money transfer,Closing account,I have been trying to resolve this closing account for 79 days. The money transfer department keeps transferring me without helping.,2022-09-06
COMP-00154,Debt collection,Fraud or scam,Unauthorized charges appeared on my debt collection. I reported the fraud or scam but the company refused to investigate properly.,2020-05-19
COMP-00155,Debt collection,Incorrect information on report,I have been trying to resolve this incorrect information on report for 12 days. The debt collection department keeps transferring me without helping.,2024-02-15
COMP-00156,Personal loan,Managing account,I have been trying to resolve this managing account for 52 days. The personal loan department keeps transferring me without helping.,2024-12-15
COMP-00157,Checking account,Closing account,The interest rate on my checking account was changed without notice. This closing account is causing significant financial hardship.,2023-08-01
COMP-00158,Checking account,Fraud or scam,My checking account application was denied without explanation. The fraud or scam has been ongoing for 19 days and I have received no response.,2020-12-01
COMP-00159,Mortgage,Billing disputes,I have been trying to resolve this billing disputes for 28 days. The mortgage department keeps transferring me without helping.,2024-09-27
COMP-00160,Mortgage,Account access issues,I have been trying to resolve this account access issues for 15 days. The mortgage department keeps transferring me without helping.,2023-03-25
COMP-00161,Credit card,Problem with payment,I was charged an unexpected fee of $58 on my credit card account. I called customer service and waited 84 minutes but got no resolution.,2021-05-17
COMP-00162,Credit card,Managing account,Unauthorized charges appeared on my credit card. I reported the managing account but the company refused to investigate properly.,2020-02-12
COMP-00163,Personal loan,Fraud or scam,I was charged an unexpected fee of $467 on my personal loan account. I called customer service and waited 29 minutes but got no resolution.,2023-05-28
COMP-00164,Debt collection,Account access issues,I was charged an unexpected fee of $299 on my debt collection account. I called customer service and waited 78 minutes but got no resolution.,2020-10-06
COMP-00165,Personal loan,Billing disputes,My personal loan application was denied without explanation. The billing disputes has been ongoing for 70 days and I have received no response.,2021-05-22
COMP-00166,Student loan,Problem with payment,I was charged an unexpected fee of $52 on my student loan account. I called customer service and waited 60 minutes but got no resolution.,2024-12-25
COMP-00167,Credit card,Problem with payment,I have been trying to resolve this problem with payment for 67 days. The credit card department keeps transferring me without helping.,2022-10-15
COMP-00168,Debt collection,Closing account,My debt collection application was denied without explanation. The closing account has been ongoing for 71 days and I have received no response.,2020-08-11
COMP-00169,Checking account,Unauthorized transactions,My checking account application was denied without explanation. The unauthorized transactions has been ongoing for 34 days and I have received no response.,2022-07-18
COMP-00170,Credit card,Problem with payment,My credit card application was denied without explanation. The problem with payment has been ongoing for 13 days and I have received no response.,2023-12-02
COMP-00171,Checking account,Problem with payment,I have been trying to resolve this problem with payment for 37 days. The checking account department keeps transferring me without helping.,2024-04-16
COMP-00172,Money transfer,Billing disputes,My money transfer application was denied without explanation. The billing disputes has been ongoing for 21 days and I have received no response.,2023-12-24
COMP-00173,Credit card,Billing disputes,My credit card application was denied without explanation. The billing disputes has been ongoing for 14 days and I have received no response.,2024-06-01
COMP-00174,Mortgage,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 69 days. The mortgage department keeps transferring me without helping.,2022-11-09
COMP-00175,Personal loan,Managing account,The interest rate on my personal loan was changed without notice. This managing account is causing significant financial hardship.,2022-02-01
COMP-00176,Credit card,Closing account,My credit card application was denied without explanation. The closing account has been ongoing for 8 days and I have received no response.,2021-04-07
COMP-00177,Auto loan,Account access issues,I was charged an unexpected fee of $63 on my auto loan account. I called customer service and waited 50 minutes but got no resolution.,2021-01-03
